name,link,systems,extract,notes,inform future decision making (y/n/u),inform current decision making (y/n/u)
Bournemouth Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_51 ,Tableau,"""The Insight, Policy and Performance Team have just started to use Tableau for data visualisation. Our tableau dashboards can be seen here: https://public.tableau.com/profile/bcpinsight#!/ ""","A popular, versatile ""visual analytics"" platform. - https://www.tableau.com/",u,u
City of Bradford Metropolitan District Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_53,CapitaONE,"""CapitaONE - schools allocation based on parents selection and other criteria such as distance etc""","A system used for data linkage, with the aim of analytics being performed upon the linked data. Bradford City Council use the system for schools allocation based on a number of factors. CapitaONE is produced by the public sector outsourcing giant, Capita. Capita market the system as allowing local authorities to see the ""full picture"" of their citizens and facilitating effective interventions[1]. See page 99 of the Data Justice Lab's report, ""Data Scores as Governance"", for more on Capita[2].  [1] https://www.capita-one.co.uk/about-us  [2] https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
City of Bradford Metropolitan District Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_53,Liquidlogic Children's Social Care System (LCS),"""LCS (including Early Help) - child assessments and service levels determined by input of assessment info""","The LCS is a system, provided by LiquidLogic, developed to support ""all aspects of social work with children"", including case management and record keeping. It attempts to unify record keeping and can assist the social worker user in making connections within a case. From LiquidLogic's marketing copy: ""Not simply an electronic social care record, the system can assist practitioners’ professional judgement by helping to make connections within a case, which may not otherwise be so apparent. ... the system reacts dynamically to information it is given.""[1] The Early Help Module ""is a complete solution designed to act as a general case management tool for children outside of Social Care"", also provided by LiquidLogic [2] It is commonly used in conjunction with the LCS, including by Bradford City Council in this example.  [1] https://www.liquidlogic.co.uk/children/liquidlogic-childrens-system-lcs/  [2] https://www.liquidlogic.co.uk/children/early-help-module-ehm/",u,u
London Borough of Brent,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_17,Risk Based Verification,"""The Benefit Service uses Risk Based Verification (RBV) software in the processing of new claims (NC) and changes in circumstances (CIC) relating to Housing Benefit and Council Tax Support claims. Claimants make new claims and report changes via online electronic forms, and having provided the required information about their family circumstances, a RBV “score” is generated via referral to a third party web-based RBV product. The RBV software uses a propensity model based on national data relating to the relative likelihood, or “risk”, of the claimant’s claim being susceptible to fraud or error. The NC or CIC is thus risk-scored and differing levels of evidence are required, depending on the risk score, to support the claim; the higher the risk scoring, the greater the evidence requirement before the claim is processed.""","Risk Based Verification (RBV) systems attempt to predict the risk of a benefit claim and, in response, adapt how that claim is processed. See pages 96-100 of the Data Justice Lab's report, ""Data Scores as Governance"", for more information on three providers of RBV systems. - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
Brighton and Hove City Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_58,[Name not specified],"""a centralised performance management system (aggregated statistics on operational business areas / trends) which we use to provide an evidence base for decisions about resources, funding or service delivery"" From 'Data Insight Strategy Paper', attached to the FOI response: ""These are capabilities that allow us to extract insight from data in innovative ways, allowing us to use historical data to predict the future, model alternative scenarios, test out policies virtually. These can be supervised by an analyst or be unsupervised (using machine learning). The potential benefits are significant but it requires specialist tools and expertise to ensure the outputs are meaningful.""","In a strategy paper attached to their Freedom of Information request response, Brighton and Hove City Council their intention to use use predictive analytics, either in the present or future.",y,u
Brighton and Hove City Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_58,ArcGIS,,"In a presentation attached to the Freedom of Information request response, B&HCC name ArcGIS under ""mapping"" and ""network analysis"" on a slide detailing their ""Data Insight Strategy analytics toolkit"". Esri, who produce ArcGIS, claim, among other things, that the system can ""Analyze patters to make predictions and determine next steps"". - https://www.esri.com/en-us/arcgis/products/arcgis-online/capabilities/analyze-data",y,u
Brighton and Hove City Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_58,Business Objects (SAP),"""Currently, our primary BI platform is Business Objects. We are piloting dashboard tools like Tableau and Power BI. We may also use Excel or infographic tools, depending on requirements.""","A popular business intelligence package, sold by SAP. Has a wide array of possible functions, including analytical capacities. Marketing copy extract: ""Enable all business users to understand trends and root causes with easy-to-use BI tools for ad hoc queries, reporting, and analysis in a Web environment. ... Build impactful BI visualization, dashboards, and analytics applications to assess risk, improve efficiencies, highlight unique insights, and identify opportunities."" - https://www.sap.com/products/bi-platform.html",u,u
Brighton and Hove City Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_58,Predictive Analytics (SAP),"B&HCC wrote in the main body of their FOI response: ""BHCC is not using any data analytics, predictive analytics or algorithmic automated systems"" However, the Word document contained a perhaps mistakenly included comment on this line which reads: ""What about SAP Predictive Analytics? What tool is [an employee] going to be using for the Access Point analytics?""","This reference within the Freedom of Information response perhaps refers to an instance of SAP's Business Objects. A comment on the FOI response indicates this predictive analytics system is possibly being used for ""Access Point analytics"", although it is unclear what this refers to.",u,u
Bristol City Council,[Not via WDTK],Think Family,,Related to Bristol's Integrated Analytical Hub,y,
Carlisle City Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_4,Housing Benefit System (Capita),"""We use the CAPITA Housing Benefit system in-conjunction with the Xantura P3.RBV web based software application for Risk Based Verification. The process risk scores claims using an algorithm to determine the level and extent of verification required for housing benefit claim assessment. The functionality is built into the software and decision making is taken manually by the Assessment Officers and is not an automated process. As this is to determine irregularities to reduce and deter fraudulent activity, a Private report was produced for Audit Committee but is not a public document for sharing in response to the request.""","Risk Based Verification (RBV) systems attempt to predict the risk of a benefit claim and, in response, adapt how that claim is processed. See pages 96-100 of the Data Justice Lab's report, ""Data Scores as Governance"", for more information on three providers of RBV systems. See pages 99-100 for more information on Capita - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
Carlisle City Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_4,Risk Based Verification (Xantura),"""We use the CAPITA Housing Benefit system in-conjunction with the Xantura P3.RBV web based software application for Risk Based Verification. The process risk scores claims using an algorithm to determine the level and extent of verification required for housing benefit claim assessment. The functionality is built into the software and decision making is taken manually by the Assessment Officers and is not an automated process. As this is to determine irregularities to reduce and deter fraudulent activity, a Private report was produced for Audit Committee but is not a public document for sharing in response to the request.""","Risk Based Verification (RBV) systems attempt to predict the risk of a benefit claim and, in response, adapt how that claim is processed. See pages 96-100 of the Data Justice Lab's report, ""Data Scores as Governance"", for more information on three providers of RBV systems. See pages 55-65 and 95-96 for more information on Xantura - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
Ceredigion County Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_78,Daffodil,"""We do not use the sort predictive analytics techniques outlined within the Authority.  We do use prevalence data for certain conditions to estimate future demand for, say, social care using our own service data, population numbers and rates from Daffodil  [1]http://www.daffodilcymru.org.uk/ ""","Daffodil is a system developed by the Institute of Public Care (IPC) for the Welsh Assembly Government which uses data from a variety of sources to attempt to project future need for care services in Wales. From the copy on the Daffodil website: ""Daffodil pulls together in one place the information you need to plan what care services might be required in your local area in the future. Information from research and population projections show potential need for care over the next 20 years for children, adults and older people."" - http://www.daffodilcymru.org.uk/",y,u
Ceredigion County Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_78,Local Development Plan,"""In producing the LDP, we have used consultants to produce projected housing need by tenure, retail capacity studies, etc.  and we may do so again in the upcoming LDP review, but nothing is decided as yet.""","As part of Ceredigion Council's Local Development Plan they project housing need. For more information on the LDP, see https://www.ceredigion.gov.uk/resident/planning-building-control-and-sustainable-drainage-body-sab/planning-building-control/ceredigion-local-development-plan-housing-figures/",y,u
Ceredigion County Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_78,POPGROUP (Edge Analytics),"""... and we use trend-based data to look at population projections in the cohort-based POPGROUP software""","From Edge Analytics website: ""POPGROUP is a suite of demographic software developed to generate population, household, labour force and other derived projections for specified geographical areas and/or population groups."" - http://www.edgeanalytics.co.uk/popgroup.php",y,u
Charnwood Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_79,Abritas Shortlisting,"""This is a weekly process that creates a shortlist of Housing Applications for empty properties ordered by application priority and application date. Officers use their own judgement to accept, reject or override the ordered list, depending on individual applicants’ requirements.""","Following an acquisition in 2016, Abritas has been integrated into the services provided by Civica. - https://www.civica.com/en-gb/container---news-insights--events/abritas-fully-integrated-into-civica/",u,y
Charnwood Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_79,QL Rent Arrears Progression,"""This is a weekly process that suggests next actions for Rent Arrears cases based on account balances, payment agreements and recent payment history. Officers use their own judgement to accept, reject or override the suggestions.""",It appears the system being referred to is a Housing Management System provided by Aareaon. It is unclear if Charnwood Borough Council use all of the features of this system or just the rent arrears related features. - https://www.aareon.co.uk/Housing_Management/Aareon_QL.197476.html,u,y
Chiltern District Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_86,Risk Based Verification,,"Risk Based Verification (RBV) systems attempt to predict the risk of a benefit claim and, in response, adapt how that claim is processed. See pages 96-100 of the Data Justice Lab's report, ""Data Scores as Governance"", for more information on three providers of RBV systems. - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
City of York Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_91,[Name not specified],"""a centralised performance management system (aggregated statistics on operational business areas / trends) which we use to provide an evidence base for decisions about resources, funding or service delivery ... We do have a centralised performance management system (aggregated statistics on operational business areas / trends) which we use to provide an evidence base for decisions about resources, funding or service delivery, plus a master data management system to improve data quality throughout the organisation""",,y,u
Copeland Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_96,GIS (Geographical Information Systems),"""...we do use the GIS (Geographical Information Systems).This software uses council-held spatial information in conjunction with the LLPG corporate address database to provide staff and service users with easier and quicker access to data, automated integration between back-office systems, with spatial functionality being utilised to provide enhanced information analysis and enable data sharing between departments.""",,u,u
London Borough of Croydon,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_15,Business Objects (SAP),,"A popular business intelligence package, sold by SAP. Has a wide array of possible functions, including analytical capacities. Marketing copy extract: ""Enable all business users to understand trends and root causes with easy-to-use BI tools for ad hoc queries, reporting, and analysis in a Web environment. ... Build impactful BI visualization, dashboards, and analytics applications to assess risk, improve efficiencies, highlight unique insights, and identify opportunities."" - https://www.sap.com/products/bi-platform.html",u,u
Dacorum Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_105,Risk Based Verification (CallCredit),"""Callcredit’s RBV algorithms were modelled using data received from Local Authorities relating to individuals’ applications for housing benefit (“HB”) and/or council tax reduction (“CTR”) (known as the Single Housing Benefit Extract or “SHBE”). Some of the SHBE data fields indicated where the claims verification process had identified incorrect information in HB/CTR applications.  Those fields were used to identify variables that were predictive of incorrect information and therefore a likely risk of error/fraud by the claimant. The models take input data from the Local Authority’s SHBE and attribute a risk score of 1-12, based on the predictive variables. The risk score is returned to the Local Authority client: a score of 1-3 refers to a ‘high’ risk of fraud/error; 4-8 is ‘medium’ risk; and 9-12 is ‘low’ risk.""","Risk Based Verification (RBV) systems attempt to predict the risk of a benefit claim and, in response, adapt how that claim is processed. See pages 96-100 of the Data Justice Lab's report, ""Data Scores as Governance"", for more information on three providers of RBV systems. See pages 97-98 for more information on CallCredit - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
Derbyshire Dales District Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_112,M3PP (Northgate Public Services),"""In terms of undertaking risk assessments for Food Safety, Health & Safety, Environmental Permitting and Private Sector Housing Environmental Health use M3PP, which calculates risk scores.""",Software offered by Northgate Public Services. Derbyshire Dales District Council say this system calculates risk scores.,u,u
Dudley Metropolitan Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_118,[Name not specified],"""Analysis of activity and potential future demand for Complex and Inclusion service""",,y,u
Dudley Metropolitan Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_118,[Name not specified],"""Analysis of methods for identifying people at risk of loneliness and isolation - to be presented at Public Health England annal conference""",,y,u
Dudley Metropolitan Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_118,[Name not specified],"""Health protection and surveillance: The team analyses data relating to air quality, immunisations, winter surveillance and infection control, in order to guide these preventative programmes.""",,y,u
Dudley Metropolitan Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_118,Business Objects (SAP),,"A popular business intelligence package, sold by SAP. Has a wide array of possible functions, including analytical capacities. Marketing copy extract: ""Enable all business users to understand trends and root causes with easy-to-use BI tools for ad hoc queries, reporting, and analysis in a Web environment. ... Build impactful BI visualization, dashboards, and analytics applications to assess risk, improve efficiencies, highlight unique insights, and identify opportunities."" - https://www.sap.com/products/bi-platform.html",u,u
Dudley Metropolitan Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_118,"Single Person Discount Review (TransUnion/CallCredit) -- provided by external service provider, Civica","""Single Person Discount Review – Information provided by TransUnion (formerly Call Credit) is used by our current external service provider (Civica ...) to assist with the verification of single person discount entitlement. ... [T]he information does not award or decline a claim.""","It appears Dudley Council used a system developed by TransUnion (formerly CallCredit) to attempt to detect when an individually has been wrongly claiming a Single Person Council Tax Discount. (Full council tax bills assume a property is the main home of two adults. If the property is the main home of only one adult, the bill, after an application to the Council, can be reduced by 25%).",u,y
London Borough of Ealing,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_121,Risk Based Verification (Coactiva),"""Coactiva provide Risk Based Verification software in relation to Ealing Councils benefit services such as Housing and Council Tax by targeting claims that may be deemed to be of a higher risk of fraud and/or errors.""","Risk Based Verification (RBV) systems attempt to predict the risk of a benefit claim and, in response, adapt how that claim is processed. See pages 96-100 of the Data Justice Lab's report, ""Data Scores as Governance"", for more information on three providers of RBV systems. - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
East Hampshire District Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_128,Dynamics (Microsoft),"""Predictive outputs are produced using commercial software, who’s outputs are used only internally as a commercial licence exists limiting the ability to share this information with external commercial organisation. ... The profile data (geodemographics) is also populated in to our Microsoft dynamics application, enabling use to analyse the data (Cases) by mosaic types.""",Microsoft Dynamics is a popular business intelligence system with a wide number of possible applications. It has the capacity to perform complex data analytics. - https://dynamics.microsoft.com/en-us/,u,u
East Hampshire District Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_128,Experian Public Sector Profiler,"""Predictive outputs are produced using commercial software, who’s outputs are used only internally as a commercial licence exists limiting the ability to share this information with external commercial organisation. The tools used postcode information (copyright the Royal Mail) to profile properties and larger geographic areas. ... The profile data (geodemographics) is also populated in to our Microsoft dynamics application, enabling use to analyse the data (Cases) by mosaic types.""","Experian Public Sector Profiler maybe refers to Experian Mosaic, a popular piece of ""geodemographic segmentation"" software is used to gain insights into different populations of people, down to the level of neighbourhood (postcode) and household. See page 83 of the Data Justice Lab's report, ""Data Scores as Governance"", for a closer look at Mosaic: https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,u
East Riding of Yorkshire Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_135,Risk Based Verification (Xantura & Northgate PS Ltd),"""For the assessment of Housing Benefit and Council Tax support claims we use Risk Based Verification. This uses algorithms to identify the level of potential fraud and error for each claim and are classified high, medium or low risk which in turn allows the assessor to determine the level of ‘proofs’ required to accompany the claim. The software is from a company called Xantura who work with Northgate PS Ltd who are our software supplier for the revenues and benefit services.""","Risk Based Verification (RBV) systems attempt to predict the risk of a benefit claim and, in response, adapt how that claim is processed. See pages 96-100 of the Data Justice Lab's report, ""Data Scores as Governance"", for more information on three providers of RBV systems. See pages 55-65 and 95-96 for more information on Xantura - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
Erewash Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_143,Risk Based Verification,"""The only department that use anything like this is the Risk Based Verification system that Council Tax and Housing Benefits use to classify claims in order to speed up processing of low risk claims.""","Risk Based Verification (RBV) systems attempt to predict the risk of a benefit claim and, in response, adapt how that claim is processed. See pages 96-100 of the Data Justice Lab's report, ""Data Scores as Governance"", for more information on three providers of RBV systems. - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
Folkestone & Hythe District Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_8,Risk Based Verification (Xantura),"""The only software that Folkestone & Hythe District Council operate that uses algorithms is Xantura. This is used to return the ""risk score"" of a benefit claim and which determines the level of supporting evidence required. This software was delivered as part of a software solution by external consultants who use Xantura so there are no specific reports, briefing notes, assessments etc or form of paper trail. There are no training manuals or material as little training is required as all that is received is an onscreen message stating what is required.""","Risk Based Verification (RBV) systems attempt to predict the risk of a benefit claim and, in response, adapt how that claim is processed. See pages 96-100 of the Data Justice Lab's report, ""Data Scores as Governance"", for more information on three providers of RBV systems. See pages 55-65 and 95-96 for more information on Xantura - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
Fylde Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_153,Risk Based Verification (TransUnion/Callcredit),"""Your request was referred to the Council's Benefits' Team who, in turn, liaised with the software provider. Consequently, taking into account the comments of TransUnion's (formerly Callcredit's) Legal Team, the Council considers that it must refuse to disclose information relating to the software used to process claims for housing benefit and council tax reduction. We can confirm the Council uses Risk Based Verification application software to aid an administrative process of gathering evidence in support of a claim for Housing Benefit and/or Council Tax Reduction. The information, procedures etc. however are considered sensitive as they form part of the Council's Fraud and Error Strategy and are not to be disclosed into the public domain.""","Risk Based Verification (RBV) systems attempt to predict the risk of a benefit claim and, in response, adapt how that claim is processed. See pages 96-100 of the Data Justice Lab's report, ""Data Scores as Governance"", for more information on three providers of RBV systems. See pages 97-98 for more information on CallCredit - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
Greater Manchester Combined Authority,https://www.whatdotheyknow.com/request/data_analytics_under_the_jurisdi,[Name not specified],"""a number of CadCorp tools ... [T]he following systems are used by the Greater Manchester Fire and Rescue Service (GMFRS) ... As part of risk modelling our Data Analysts utilise a number of CadCorp tools to assist with predicting appliance response times""",,u,u
Hertfordshire County Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage,[Name not specified],"""We also profile to identify people who might be interested in supporting our work in specialised areas (for example, as foster carers or adoptive parents) We might also use profile data to identify people who would most benefit from a targeted service.""",,u,u
Hertfordshire County Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage,[Name not specified],"""We analyse our existing service data to make sure we can provide the services needed in the future ... Sometimes we may compare or combine this data with population data from other sources, official data from Office for National Statistics, NHS Digital or  commercial sources. We don't use this to identify individuals – only to forecast future demand (for example, demand for school places, social care and health trends.""",,y,u
Hertfordshire County Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage,Mosaic (Experian),"""We do use general profiling tool (Currently Experian Mosaic)to understand the needs and make-up of the Hertfordshire population, analysis is done on geographic areas, because we are interested in the service demands across communities rather than profiling individual residents.""","This popular piece of ""geodemographic segmentation"" software is used to gain insights into different populations of people, down to the level of neighbourhood (postcode) and household. See page 83 of the Data Justice Lab's report, ""Data Scores as Governance"", for a closer look at Mosaic: https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",y,u
Hull City Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_186,Risk Based Verification,"""The only department of the Council which uses automated decision making is the Housing Benefit. New claims for Housing Benefit are assessed using a system of Risk Based Verification. The system uses algorithms to categorise claims into low, medium or high risk, to advise the assessor on the levels of evidence that can be requested. Ultimately, the decision as to what evidence is required is that of the person assessing the claim, and Risk Based Verification is only used to inform the process.""","Risk Based Verification (RBV) systems attempt to predict the risk of a benefit claim and, in response, adapt how that claim is processed. See pages 96-100 of the Data Justice Lab's report, ""Data Scores as Governance"", for more information on three providers of RBV systems. - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
Huntingdonshire District Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_187,Risk Based Verification (CallCredit),"""We do use risk based verification software which provides a “risk score” of low, medium and high. This is a product called CallCredit within our case management system Northgate which is used by Revenues teams. There is no documentation on how risk scores are applied; it’s based on the individual circumstances of each claim.""","Risk Based Verification (RBV) systems attempt to predict the risk of a benefit claim and, in response, adapt how that claim is processed. See pages 96-100 of the Data Justice Lab's report, ""Data Scores as Governance"", for more information on three providers of RBV systems. See pages 97-98 for more information on CallCredit - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
Inverclyde Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_189,Scottish Patients at Risk of Readmission and Admission (SPARRA) (Health & Social Care Partnership),,"From ISD Scotland website: ""Scottish Patients at Risk of Readmission and Admission is a risk prediction tool developed by ISD which predicts an individual's risk of being admitted to hospital as an emergency inpatient within the next year. ... Scores are calculated for approximately 4.2  million patients.  Information on those whose score indicates that they may be  at  increased risk of emergency admission are accessed by authorised health care  professionals in NHS Boards, CHPs and GP practices. SPARRA scores can  range from 1 to 99% for patients in the cohort. Patients with a score of 50%,  for example, are generally said to have a 1 in 2 chance of being admitted to  hospital in the prediction year."" - https://www.isdscotland.org/Health-Topics/Health-and-Social-Community-Care/SPARRA/",u,u
Ipswich Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_190,Risk Based Verification (CallCredit),"""The only system currently in use that we think meets your criteria is the Risk-based-verification software used to pre-process Housing Benefit claims. However, as this process is outsourced and its functions are run as a service, we have no data concerning the particular hardware or software which may be used.""","Risk Based Verification (RBV) systems attempt to predict the risk of a benefit claim and, in response, adapt how that claim is processed. See pages 96-100 of the Data Justice Lab's report, ""Data Scores as Governance"", for more information on three providers of RBV systems. See pages 97-98 for more information on CallCredit - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
London Borough of Islington,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_193,Holistix (Quality Education Systems (QES)),"""Islington has procured a data matching tool that creates a “golden record” for each person in Islington. The system is called Holistix and is provided by a company called Quality Education Systems (QES). The attached slide sets provide an overview of the system, the types of data included and the purposes for which it is used. The council has a Using Data Better programme with a core aim of establishing a council-wide linked dataset that can be used for both operational purposes (where there is a legal basis to share data in this way such as identifying fraud, identifying children for REACH programme). Additionally, we use a de-personalised extract of this dataset for strategic purposes. This includes for example, to better understand the needs of council tenants and households to inform a new model of service delivery to better meet residents’ needs, utilise council resource more efficiently, and improve outcomes.""",,y,u
