Domain Name,Owner
counter-eavesdropping.gov.uk,Foreign & Commonwealth Office
courtfunds.gov.uk,Ministry of Justice
courts.gov.uk,Ministry of Justice
courtsni.gov.uk,Northern Ireland Courts and Tribunals Service
cpdni.gov.uk,Department of Finance
cpni.gov.uk,Centre for the Protection of National Infrastructure
cps.gov.uk,Crown Prosecution Service
crb.gov.uk,Criminal Records Bureau
crbonline.gov.uk,Disclosure and Barring Service
criminal-justice-system.gov.uk,Ministry of Justice
crowncommercial.gov.uk,Crown Commercial Service
crownoffice.gov.uk,Crown Office and Procurator Fiscal Service
croydon.gov.uk,London Borough of Croydon
csa.gov.uk,Child Support Agency
csc.gov.uk,HM Government Cabinet Office
csep.gov.uk,HM Government Cabinet Office
csirtuk.gov.uk,Centre for the Protection of National Infrastructure
cslearning.gov.uk,HM Government Cabinet Office
csl.gov.uk,Food and Environment Research Agency
csoni.gov.uk,Crown Solicitor's Office
csr.gov.uk,"Department for Business, Energy & Industrial Strategy"
cst.gov.uk,Council for Science and Technology
ctt.gov.uk,National Parking Adjudication Service
culturalpropertyadvice.gov.uk,Arts Council England
culture.gov.uk,Department for Culture Media and Sport
cumbria-pcc.gov.uk,Cumbria Constabulary
curriculumforexcellencescotland.gov.uk,Education Scotland
cyberaware.gov.uk,Home Office
cyfoethnaturiolcymru.gov.uk,Welsh Government
cyfrifiad.gov.uk,Office for National Statistics
cymru.gov.uk,Welsh Government
cymrugydnerth.gov.uk,Welsh Government
cymruhanesyddol.gov.uk,Royal Commission on the Ancient and Historical Monuments of Wales
cymruoltroedcarbon.gov.uk,Welsh Government
cymru-wales.gov.uk,Welsh Government
daera-ni.gov.uk,The Executive Office
dardni.gov.uk,"Department of Agriculture, Environment and Rural Affairs"
dartmoor.gov.uk,Dartmoor National Park Authority
dartmoor-npa.gov.uk,Dartmoor National Park Authority
darwin.gov.uk,Department for Environment Food and Rural Affairs
dasscotland.gov.uk,Accountant in Bankruptcy
data.gov.uk,HM Government Cabinet Office
dataunitwales.gov.uk,Local Government Data Unit ~ Wales
dbs.gov.uk,Disclosure and Barring Service
dca.gov.uk,Ministry of Justice
dcal-fishingni.gov.uk,Department for Communities
dcalni.gov.uk,Department for Communities
dclg.gov.uk,Department for Communities and Local Government
dcms.gov.uk,Department for Culture Media and Sport
dcsf.gov.uk,Department for Education
ddfire.gov.uk,County Durham and Darlington Fire and Rescue Service Headquarters
decc.gov.uk,Department of Energy and Climate Change
decymru-tan.gov.uk,South Wales Fire and Rescue Service
defra.gov.uk,Department for Environment Food and Rural Affairs
deliveringforscotland.gov.uk,Scotland Office
delni.gov.uk,Department for the Economy
deni.gov.uk,Department of Education Northern Ireland
derbys-fire.gov.uk,Derbyshire Fire & Rescue Service
derbyshirealc.gov.uk,Derbyshire Association of Local Councils
derbyshire-pcc.gov.uk,Police and Crime Commissioner for Derbyshire
detini.gov.uk,Department for the Economy
devonandcornwall-pcc.gov.uk,Police and Crime Commissioner for Devon and Cornwall and the Isles of Scilly
devonandsevernifca.gov.uk,Devon and Severn IFCA
devonbuildingcontrol.gov.uk,Devon Building Control Partnership
devonsomersettradingstandards.gov.uk,Devon and Somerset Trading Standards
dexeu.gov.uk,HM Government Cabinet Office
dfes.gov.uk,Department for Education
dfid.gov.uk,Department for International Development
dfpni.gov.uk,Department of Finance
dft.gov.uk,Department for Transport
dh.gov.uk,Department of Health
dhssni.gov.uk,Department of Health Northern Ireland
dhsspsni.gov.uk,Department of Health
digitac.gov.uk,Driver & Vehicle Standards Agency
digitalni.gov.uk,Digital Transformation Service
digitaltachograph.gov.uk,Driver & Vehicle Standards Agency
directgov.gov.uk,HM Government Cabinet Office
direct.gov.uk,HM Government Cabinet Office
disability.gov.uk,Department for Work and Pensions
dmo.gov.uk,Debt Management Office
doeni.gov.uk,Department of the Environment
doh.gov.uk,Department of Health
dojni.gov.uk,Northern Ireland Office
dorset-aptc.gov.uk,Dorset Association of Parish & Town Councils
dorsetfire.gov.uk,Dorset Fire & Rescue Service
dppni.gov.uk,Crown Prosecution Service
drdni.gov.uk,Department for Infrastructure
drugs.gov.uk,Home Office
dsa.gov.uk,Driving Standards Agency
dsdni.gov.uk,Department for Communities
dsfire.gov.uk,Devon & Somerset Fire & Rescue Service
dss.gov.uk,Department for Work and Pensions
dstl.gov.uk,Defence Science and Technology Laboratory
dti.gov.uk,"Department for Business, Energy & Industrial Strategy"
durham-pcc.gov.uk,Police and Crime Commissioner for Durham
dvla.gov.uk,Driver and Vehicle Licensing Agency
dvlaonline.gov.uk,Driver and Vehicle Licensing Agency
dvsa.gov.uk,Department of Transport
dvtaonlineni.gov.uk,Department of the Environment
dwi.gov.uk,Department for Environment Food and Rural Affairs
dwp.gov.uk,Department for Work and Pensions
ealc.gov.uk,
eastern-ifca.gov.uk,Eastern Sea Fisheries Joint Committee
eastlondonwaste.gov.uk,East London Waste Authority
eastmidlandsfire-recruitment.gov.uk,Leicestershire Fire and Rescue Services
eatsafe.gov.uk,Food Standards Agency
eca.gov.uk,Department of Energy and Climate Change
ecgd.gov.uk,Export Credits Guarantee Department
economy-ni.gov.uk,The Executive Office
edinburghcastle.gov.uk,Historic Scotland
education.gov.uk,Department for Education
education-ni.gov.uk,The Executive Office
educationscotland.gov.uk,The Scottish Government
eelga.gov.uk,East of England Local Government Association
eforestry.gov.uk,Forestry Commission
ehsni.gov.uk,Northern Ireland Environment Agency
eidcymru.gov.uk,Welsh Government
electoralofficeni.gov.uk,Electoral Office for Northern Ireland
emani.gov.uk,Department for the Economy
emcouncils.gov.uk,Local Government East Midlands
emetaskforce.gov.uk,Department for Work and Pensions
employmentappeals.gov.uk,Ministry of Justice
employmenttribunals.gov.uk,Ministry of Justice
entrepreneurs.gov.uk,UK Trade and Investment
environment-agency.gov.uk,Environment Agency
eoni.gov.uk,Electoral Office for Northern Ireland
equalities.gov.uk,Department for Work and Pensions
eryri-npa.gov.uk,Snowdonia National Park Authority
esf.gov.uk,Department for Work and Pensions
essex-fire.gov.uk,Essex County Fire & Rescue Service
estyn.gov.uk,Estyn
etendersni.gov.uk,"Central Procurement Directorate, DFPNI"
eti-ni.gov.uk,Department of Education
etini.gov.uk,Department of Education
EUCompNI.gov.uk,Department for the Economy
eureferendum.gov.uk,HM Government Cabinet Office
europeansocialfund.gov.uk,Department for Work and Pensions
exchange.gov.uk,Office for Criminal Justice Reform
executiveoffice-ni.gov.uk,The Executive Office
exmoor-nationalpark.gov.uk,Exmoor National Park Authority
exmoor-npa.gov.uk,Exmoor National Park Authority
exportingisgreat.gov.uk,UK Trade and Investment
familysupportni.gov.uk,Department of Health Northern Ireland
faststream.gov.uk,HM Government Cabinet Office
fco.gov.uk,Foreign & Commonwealth Office
fcoservices.gov.uk,Foreign & Commonwealth Office
fcos.gov.uk,Foreign & Commonwealth Office
fepd.gov.uk,Fire & Emergency Planning Directorate
financeandtaxtribunals.gov.uk,Ministry of Justice
finance-ni.gov.uk,The Executive Office
financialsectorcontinuity.gov.uk,HM Treasury
fire.gov.uk,Home Office
firekills.gov.uk,Home Office
FireScotland.gov.uk,Tayside Fire and Rescue
fishregister.gov.uk,The Scottish Government
food.gov.uk,Food Standards Agency
foodstandards.gov.uk,Food Standards Agency
foresight.gov.uk,"Department for Business, Energy & Industrial Strategy"
forestresearch.gov.uk,Forestry Commission
forestry.gov.uk,Forestry Commission
frs-scotland.gov.uk,Fisheries Research Services
fsa.gov.uk,Financial Conduct Authority
fsni.gov.uk,Department of Justice Northern Ireland
gad.gov.uk,Government Actuary's Department
gamblingcommission.gov.uk,Gambling Commission
gateway.gov.uk,HM Revenue & Customs
gcccymru.gov.uk,Welsh Government
gchq.gov.uk,GCHQ
gcs.gov.uk,Department for Transport
gcsx.gov.uk,HM Government Cabinet Office
gct.gov.uk,GCHQ
gcvcore.gov.uk,Glasgow And Clyde Valley Structure Plan Joint Committee
gcvgreennetwork.gov.uk,Glasgow and the Clyde Valley Green Network Partnership
gds.gov.uk,Department for Environment Food and Rural Affairs
generalcommissioners.gov.uk,Ministry of Justice
geo.gov.uk,Department for Culture Media and Sport
ges.gov.uk,HM Treasury
getingofar.gov.uk,Skills Funding Agency
gla.gov.uk,The Gangmasters Licensing Authority (GLA)
glamro.gov.uk,Glamorgan Record Office
glosfire.gov.uk,
gloucestershire-pcc.gov.uk,Police and Crime Commissioner for Gloucestershire
glow.gov.uk,The Scottish Government
glsni.gov.uk,Department of Finance
gmita.gov.uk,Transport for Greater Manchester
gmtu.gov.uk,Greater Manchester Transportation Unit
gmwda.gov.uk,Greater Manchester Waste Disposal Authority
govcertuk.gov.uk,GCHQ
governmentlegal.gov.uk,Government Legal Department
gpn.gov.uk,Cabinet Office
grampian-ero.gov.uk,Grampian Valuation Joint Board
grampian-vjb.gov.uk,Grampian Valuation Joint Board
greatbedwyn-pc.gov.uk,Great Bedwyn Parish
greatbusiness.gov.uk,"Department for Business, Energy & Industrial Strategy"
greatermanchester-ca.gov.uk,Greater Manchester Combined Authority
great.gov.uk,Department For International Trade
greenwich.gov.uk,The Royal Borough of Greenwich
gro.gov.uk,HM Passport Office
gro-scotland.gov.uk,National Records of Scotland
gse.gov.uk,HM Government Cabinet Office
gsi.gov.uk,HM Government Cabinet Office
gsr.gov.uk,HM Treasury
gsx.gov.uk,HM Government Cabinet Office
guardianship.gov.uk,Office of the Public Guardian
gvs.gov.uk,Department for Environment Food and Rural Affairs
gwarchodyglannaucymru.gov.uk,North Wales Police
gwerthwchigymru.gov.uk,Welsh Government
hadleycentre.gov.uk,Met Office
halchereford.gov.uk,Herefordshire Association of Local Councils
hampshire-pcc.gov.uk,Hampshire Police Authority
handiprepared.gov.uk,Highlands and Islands Strategic coordinating Group
hantsfire.gov.uk,Hampshire Fire & Rescue Service
havering.gov.uk,The London Borough of Havering
healthestatesni.gov.uk,"Department for Business, Enterprise and Regulatory Reform"
health-ni.gov.uk,The Executive Office
helptobuy.gov.uk,Department for Communities and Local Government
hfea.gov.uk,Department of Health
hie.gov.uk,Highlands and Islands Enterprise
highways.gov.uk,The Highways Agency
hillingdon.gov.uk,London Borough of Hillingdon
historic-scotland.gov.uk,Historic Scotland
historicscotlandimages.gov.uk,Historic Scotland
historicwales.gov.uk,Royal Commission on the Ancient and Historical Monuments of Wales
hmce.gov.uk,HM Revenue & Customs
hmcg.gov.uk,Her Majesty's Coastguard
hmcpsi.gov.uk,Her Majesty's Crown Prosecution Service Inspectorate
hmgcc.gov.uk,Home Office
hmic.gov.uk,Her Majesty's Inspectorate of Constabulary
hmie.gov.uk,Education Scotland
hmiprisons.gov.uk,Ministry of Justice
hmiprobation.gov.uk,Ministry of Justice
hmprisonservice.gov.uk,HM Prison Service
hmrc.gov.uk,HM Revenue & Customs
hmrevenueandcustoms.gov.uk,HM Revenue & Customs
hmrevenue-customs.gov.uk,HM Revenue & Customs
hmso.gov.uk,Office of Public Sector Information
hmt.gov.uk,HM Treasury
hm-treasury.gov.uk,HM Treasury
homeoffice.gov.uk,Home Office
homereportscotland.gov.uk,The Scottish Government
homesengland.gov.uk,Homes and Communities Agency (HCA)
hoosaintwerburgh-pc.gov.uk,Hoo St Werburgh Parish Council (Medway)
hounslow.gov.uk,London Borough of Hounslow
hscic.gov.uk,The Health and Social Care Information Centre
hse.gov.uk,Health and Safety Executive
hseni.gov.uk,Health and Safety Executive for Northern Ireland
hsl.gov.uk,Health and Safety Executive
hta.gov.uk,The Human Tissue Authority
hullandgoolepha.gov.uk,Hull and Goole Port Health Authority
humbersidefire.gov.uk,Humberside Fire and Rescue Service
humberside-pcc.gov.uk,Humberside Police Authority
huntinginquiry.gov.uk,Department for Environment Food and Rural Affairs
hydro.gov.uk,The United Kingdom Hydrographic Office
idea.gov.uk,Local Government Association
identityandpassportservice.gov.uk,Home Office
imagesofdisability.gov.uk,Department for Work and Pensions
immigrationservicestribunal.gov.uk,Ministry of Justice
independent.gov.uk,HM Government Cabinet Office
industrialcourt.gov.uk,Department for the Economy
informationtribunal.gov.uk,Ministry of Justice
infrastructure-ni.gov.uk,The Executive Office
inlandrevenue.gov.uk,HM Revenue & Customs
innovate2017.gov.uk,Innovate UK
innovateuk.gov.uk,UK Shared Business Services Ltd
inrev.gov.uk,HM Revenue & Customs
intellectual-property.gov.uk,The Patent Office
ipa.gov.uk,HM Government Cabinet Office
ipcc.gov.uk,Independent Police Complaints Commission
ipo.gov.uk,The Patent Office
ips.gov.uk,Serious Organised Crime Agency
iragentreg.gov.uk,HM Revenue & Customs
ir-efile.gov.uk,HM Revenue & Customs
ir.gov.uk,HM Revenue & Customs
ir-online.gov.uk,HM Revenue & Customs
iscjis.gov.uk,The Scottish Government
islington.gov.uk,London Borough of Islington
isni.gov.uk,Strategic Investment Board NI
itt-ew.gov.uk,National Parking Adjudication Service
itt.gov.uk,National Parking Adjudication Service
jncc.gov.uk,Joint Nature Conservation Committee
jobcentre.gov.uk,Employment Service
jobcentreplus.gov.uk,Department for Work and Pensions
jobsandgrowthni.gov.uk,Department for the Economy
jobsandskills.gov.uk,Department for Work and Pensions
jpscotland.gov.uk,Judicial Appointments Board for Scotland
judicialappointments.gov.uk,Ministry of Justice
judicialappointmentsscotland.gov.uk,Scottish Executive
judicialconduct.gov.uk,Ministry of Justice
judicialombudsman.gov.uk,Ministry of Justice
judiciary.gov.uk,Ministry of Justice
judiciary-ni.gov.uk,Northern Ireland Courts and Tribunals Service
judiciaryni.gov.uk,Industrial Tribunals and The Fair Employment Tribunal Northern Ireland
justice.gov.uk,Ministry of Justice
justiceinspectorates.gov.uk,Her Majesty's Crown Prosecution Service Inspectorate
justice-ni.gov.uk,The Executive Office
kentalc.gov.uk,Kent Association of Local Councils
kentandessex-ifca.gov.uk,Kent and Essex Inshore Fisheries and Conservation Authority
kent-pcc.gov.uk,The Office of the Kent Police and Crime Commissioner
kingston.gov.uk,Royal Borough of Kingston upon Thames
kltr.gov.uk,The Office of Queen's and Lord Treasurer's Remembrancer
lake-district.gov.uk,Lake District National Park Authority
lakedistrict.gov.uk,Lake District National Park Authority
lanarkshire-vjb.gov.uk,Lanarkshire Valuation Joint Board
lancashire-pcc.gov.uk,Police and Crime Commissioner for Lancashire
lancasterhouse.gov.uk,Foreign & Commonwealth Office
lancsmuseums.gov.uk,Lancashire Museums
landlordregistrationscotland.gov.uk,Registers of Scotland
landregistry.gov.uk,HM Land Registry
landstribunal.gov.uk,Ministry of Justice
landwebni.gov.uk,Land & Property Services
lawcom.gov.uk,Ministry of Justice
lawcommission.gov.uk,Ministry of Justice
ldbc-wales.gov.uk,Welsh Government
leedscityregion.gov.uk,West Yorkshire Combined Authority
legalservices.gov.uk,Legal Services Commission
legislation.gov.uk,HM Government Cabinet Office
legsb.gov.uk,ODPM
leicestershireandrutlandalc.gov.uk,Leicestershire and Rutland Association of Local Councils
lewisham.gov.uk,London Borough of Lewisham
lga.gov.uk,Local Government Association
lgbc-scotland.gov.uk,
lgdu-wales.gov.uk,Local Government Data Unit ~ Wales
lge.gov.uk,Local Government Association
lg-em.gov.uk,East Midlands Councils
lhc.gov.uk,Housing Coporation
lifeintheuktest.gov.uk,Home Office
lincolnshire-pcc.gov.uk,Police and Crime Commissioner for Lincolnshire
linets.gov.uk,Scottish Executive
livingwage.gov.uk,HM Government Cabinet Office
llwybrarfordircymru.gov.uk,Natural Resources Wales
lma.gov.uk,City of London Corporation
localdirect.gov.uk,HM Government Cabinet Office
local.gov.uk,Local Government Association
londoncareplacements.gov.uk,London Councils
londoncouncils.gov.uk,London Councils
london-fire.gov.uk,London Fire Brigade
london.gov.uk,Greater London Authority
londonlibraries.gov.uk,The London Borough of Havering
londonprepared.gov.uk,London Resilience Partnership
londonpsn.gov.uk,Royal Borough of Kingston upon Thames
londonresilience.gov.uk,Office of the Deputy Prime Minister
londonscb.gov.uk,The London Safeguarding Children Board
londontribunals.gov.uk,London Councils
londonworks.gov.uk,Transport for London
lordsappointments.gov.uk,HM Government Cabinet Office
lothian-vjb.gov.uk,Lothian Valuation Joint Board
loughtonandgreatholm-pc.gov.uk,BestHost
lowpay.gov.uk,"Department for Business, Energy & Industrial Strategy"
lpsni.gov.uk,Department of Finance
lsani.gov.uk,Department of Justice Northern Ireland
lslo.gov.uk,The Attorney General's Office
lwarb.gov.uk,London Fire Brigade
macscotland.gov.uk,The Scottish Government
maff.gov.uk,Department for Environment Food and Rural Affairs
magic.gov.uk,Department for Environment Food and Rural Affairs
maib.gov.uk,Department for Transport
maidenhead.gov.uk,Royal Borough of Windsor and Maidenhead
major-hazards.gov.uk,Health and Safety Executive
manchesterfire.gov.uk,Manchester County Fire Service
marriages.gov.uk,HM Passport Office
matlockbathparishcouncil.gov.uk,Parish Council of Matlock Bath
mawwfire.gov.uk,Mid and West Wales Fire and Rescue Service
mcga.gov.uk,Department of Transport
merseyfire.gov.uk,Merseyside Fire and Rescue Service
mersey-pha.gov.uk,Mersey Port Health Authority
merseysidewda.gov.uk,Merseyside Waste Disposal Authority
merseytravel.gov.uk,Merseyside Passenger Transport Executive
merseytunnels.gov.uk,
merton.gov.uk,London Borough of Merton
met-office.gov.uk,Met Office
metoffice.gov.uk,Met Office
meto.gov.uk,Met Office
metweather.gov.uk,Met Office
mfa.gov.uk,Department for Environment Food and Rural Affairs
mhra.gov.uk,Medicines and Healthcare Products Regulatory Agency
mhtscot.gov.uk,Scottish Executive
mhtscotland.gov.uk,Scottish Courts and Tribunal Service
mi5.gov.uk,Security Service
mi6careers.gov.uk,Secret Intelligence Service
mi6.gov.uk,Secret Intelligence Service
middlelevel.gov.uk,Middle Level Commissioners
mmc.gov.uk,Competition Commission
mod.gov.uk,Ministry of Defence
moneyclaim.gov.uk,Ministry of Justice
monitor.gov.uk,Monitor
monitor-nhsft.gov.uk,Monitor
mountedgcumbe.gov.uk,Edgcumbe House & Country Park Joint Committee
mycounciltax.gov.uk,HM Revenue & Customs
myjobscotland.gov.uk,Convention of Scottish Local Authorities
mysummaryvaluation.gov.uk,HM Revenue & Customs
nactso.gov.uk,National Counter Terrorism Security Office
nalc.gov.uk,National Association of Local Councils
nao.gov.uk,National Audit Office
nas.gov.uk,The National Archives of Scotland
nationalarchives.gov.uk,The National Archives
nationalcrimeagency.gov.uk,Child Exploitation and Online Protection Centre
nationalemploymentpanel.gov.uk,DfES
nationalfraudinitiative.gov.uk,HM Government Cabinet Office
nationalparks.gov.uk,Peak District National Park Authority
nationalparkswales.gov.uk,Welsh Association of National Park Authorities
nationalrecordsofscotland.gov.uk,National Records of Scotland
nationalrecordsscotland.gov.uk,National Records of Scotland
natlotcomm.gov.uk,Gambling Commission
naturalengland.gov.uk,Natural England
naturalresourceswales.gov.uk,Welsh Government
ncsc.gov.uk,GCHQ
nda.gov.uk,Nuclear Decommissioning Authority
nen.gov.uk,Department for Education
nereo.gov.uk,
netregs.gov.uk,Scottish Environment Protection Agency
newforestnpa.gov.uk,New Forest National Park Agency
newham.gov.uk,London Borough of Newham
nfi.gov.uk,HM Government Cabinet Office
ngflscotland.gov.uk,Education Scotland
nhsft-regulator.gov.uk,Monitor
ni-assembly.gov.uk,Northern Ireland Assembly
niassembly.gov.uk,Northern Ireland Assembly
niauditoffice.gov.uk,Northern Ireland Audit Office
niaur.gov.uk,Utility Regulator
nical.gov.uk,Department of Finance
nic.gov.uk,HM Treasury
nicscommissioners.gov.uk,Office of the Civil Service Commissioners
nics.gov.uk,Department of Finance
nicsohs.gov.uk,Northern Ireland Civil Service Occupational Health Service
nicsrecruitment.gov.uk,Department of Finance
nidirect.gov.uk,The Northern Ireland Public Sector
nifca.gov.uk,Northumberland Sea Fisheries commission
nigov.gov.uk,Department of Finance
nihe.gov.uk,Northern Ireland Housing Executive
nijac.gov.uk,Northern Ireland Judicial Appointments Commission
nilawcommission.gov.uk,Department of Finance
nimdta.gov.uk,Department of Health
nio.gov.uk,Northern Ireland Office
niprisonerombudsman.gov.uk,Prisoner Ombudsman for Northern Ireland
niprisonservice.gov.uk,Northern Ireland Prison Service
nisra.gov.uk,Northern Ireland Statistics and Research Agency
nissa.gov.uk,Northern Ireland Social Security Agency
nlwa.gov.uk,North London Waste Authority
nmo.gov.uk,National Measurement and Regulation Office
nmro.gov.uk,National Measurement and Regulation Office
no10.gov.uk,HM Government Cabinet Office
