"NO.","SEARCH TERM FILE","TITLE","CONTENT","LINK"
15,"_Algorithm_100taps.json","PDF Open Government","algorithm has been revised to break the feedback loop within the category 'possibility of VHF'. The updated patient risk assessment algorithm is attached as Annex 2 of this paper.","http://www.hse.gov.uk/aboutus/meetings/committees/acdp/070612/acdp97P5.pdf"
16,"_Algorithm_100taps.json","Part I: Exploring data patterns using clustering - Data in government","An unsupervised algorithm, such as Kernel Density Estimation, is the least biased option since the algorithm takes the data as its only input (the user doesn't specify any parameters).","https://dataingovernment.blog.gov.uk/2015/08/18/part-i-exploring-data-patterns-using-clustering/"
17,"_Algorithm_100taps.json","Ramp Metering Algorithm Development and... - Highways England","You are here: HA home > Knowledge Compendium > Ramp Metering Algorithm Development and Modification Definition.","http://www.highways.gov.uk/knowledge/projects/ramp-metering-algorithm-development-and-modification-definition/"
18,"_Algorithm_100taps.json","PDF Testing strategy for compliance with","2. Research about RNG algorithm/hardware to ensure there is no publicly known weakness or vulnerabilities associated with the RNG under evaluation.","http://www.gamblingcommission.gov.uk/pdf/Testing-strategy-for-compliance-with-remote-gambling-and-software-technical-standards.pdf"
19,"_Algorithm_100taps.json","PDF A novel poxvirus lethal to red squirrels","K. Thomas and others. Fig. 2. Phylogenetic analysis was performed on orthologous amino acid sequences aligned using the ClustalW algorithm.","https://concerts.forestry.gov.uk/pdf/ukrsg_poxvirus_research.pdf/$FILE/ukrsg_poxvirus_research.pdf"
20,"_Algorithm_100taps.json","PHE School Zone - Food Detectives KS2 toolkit","Smooth Algorithm classroom activity.","https://campaignresources.phe.gov.uk/schools/resources/Food-Detectives-KS2-Toolkit"
21,"_Algorithm_100taps.json","PDF Evaluation of the impact of the","The algorithm developed to match the control group for this evaluation and the motivation underlying its choice are briefly explained here.","https://www.justice.gov.uk/downloads/publications/research-and-analysis/moj-research/eval-enhanced-thinking-skills-prog.pdf"
22,"_Algorithm_100taps.json","HRT4-A, HFT4 and HTT4","When used with a condensing boiler, the TPI thermostat will help to save energy as the control algorithm allows the boiler to operate in condensing mode more consistently compared to older types...","https://www.bristol.gov.uk/documents/20182/34400/Horstmann%20HRT4%20Thermostat.pdf/3def1e15-fafd-4733-b675-d23ae80fec2f"
23,"_Algorithm_100taps.json","PDF Take care of your digital footprint","5 The algorithm behind the Facebook news feed is accessibly described in this Time magazine article from July 2015.","https://www.judiciary.gov.uk/wp-content/uploads/2017/03/clarke-take-care-of-your-digital-footprint-spring-2017.pdf"
24,"_Algorithm_100taps.json","Conceptions in England and Wales - Office for National Statistics","The new algorithm took account of the day of the mother's birth and the estimated day of conception rather than just using year and month.","https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/conceptionandfertilityrates/bulletins/conceptionstatistics/2014"
25,"_Algorithm_100taps.json","PDF Workforce Data Standards","The algorithm(s) to be used. A conversion algorithm to derive weekly averages is required. See Standard Hours & Minutes domain.","https://www.local.gov.uk/sites/default/files/documents/workforce-data-standards--bfe.pdf"
26,"_Algorithm_100taps.json","PDF Not protectively marked","Algorithm ATM card Audit Trail. Pertaining to an algorithm used for hiding secret information by encoding it with another piece of data known as a key.","https://www.cpni.gov.uk/system/files/documents/37/28/AACS-token-selection-guide.pdf"
27,"_Algorithm_100taps.json","PDF Clinical Trials Notification Scheme FAQs","Q: Can a guidance algorithm be devised? A: We do not believe that an algorithm will offer any significant advantage to sponsors in utilising risk-adapted approaches to their clinical trials.","http://www.mhra.gov.uk/home/groups/comms-ic/documents/websiteresources/con140793.pdf"
28,"_Algorithm_100taps.json","Erasmus J Petrus Cilliers wins 2017 Best Journal Article Prize","Mosabber Uddin Ahmed (2008 Scholar from Bangladesh, PhD Signal Processing, Imperial College London) for his article 'A Multivariate Multiscale Entropy Algorithm with Application to Uterine EMG...","http://cscuk.dfid.gov.uk/2017/09/erasmus-j-petrus-cilliers-wins-2017-best-journal-article-prize/"
29,"_Algorithm_100taps.json","PDF Irritation and Tap Water","Drinking Water Inspectorate. • Case analysis conducted by a dermatologist according to an algorithm based on pharmacovigilance methods.","http://dwi.defra.gov.uk/research/completed-research/reports/dwi70-2-257.pdf"
30,"_Algorithm_100taps.json","D-Mesh","Power&Key Software for Administrator D-Mesh network. for specify access rights to the Database operators, services and users with the protection of the access channel based on the RSA algorithm...","https://www.ofgem.gov.uk/node/57353"
"NO.","SEARCH TERM FILE","TITLE","CONTENT","LINK"
1,"_Algorithmic_100taps.json","PDF Market-making","Market-making obligations and algorithmic trading. systems A feasibility assessment of the March 2012 draft of. MiFID2 Article 17(3).","https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/289054/12-1078-eia19-market-making-obligations-and-algorithmic-trading-systems.pdf"
2,"_Algorithmic_100taps.json","[ARCHIVED CONTENT] Algorithmic Modelling Community Group","Algorithmic Modelling Community Group. The mission of this group is to propose foundational specifications relating to algorithmic modelling: a model, in this context, being a description of the...","http://webarchive.nrscotland.gov.uk/frame/20170611015530/https://www.w3.org/community/model/"
3,"_Algorithmic_100taps.json","ALGORITHMIC TRADING CONSULTING LIMITED - Overview...","Please press ENTER to search. Algorithmic trading consulting limited. Company Overview for ALGORITHMIC TRADING CONSULTING LIMITED (09571268).","https://beta.companieshouse.gov.uk/company/09571268"
4,"_Algorithmic_100taps.json","ALGORITHMIC DIGITAL SOLUTIONS LIMITED - Overview...","ALGORITHMIC DIGITAL SOLUTIONS LIMITED - Free company information from Companies House including registered office address, filing history, accounts, annual return, officers, charges...","https://beta.companieshouse.gov.uk/company/08581515"
5,"_Algorithmic_100taps.json","PDF Trading and data | Algorithmic Trading","Algorithmic trading and data. Science. Hao ni oxford-man institute of quantitative finance.","https://www.rbkc.gov.uk/sites/default/files/atoms/files/Hao%20Ni%20-%20Presentation.pdf"
6,"_Algorithmic_100taps.json","Algorithmic decision-making","Algorithmic decision-making. Computers can be programmed in order to automatically carry out a range of activities. This includes, for example...","https://quarterly.blog.gov.uk/2016/06/03/regulators-fit-for-the-future/"
7,"_Algorithmic_100taps.json","PDF Data","It is noteworthy that the upgrade was achieved through focussed efforts to improve the scalability and algorithmic efficiency of 4D-Var...","https://www.metoffice.gov.uk/binaries/content/assets/mohippo/pdf/library/mosac/mosac_16.6.pdf"
8,"_Algorithmic_100taps.json","PDF Teaching london computing","Algorithmic thinking, Abstraction, Generalisation Algorithmic thinking, Decomposition, Abstraction, Generalisation Algorithmic thinking, Evaluation.","https://www.london.gov.uk/sites/default/files/queen_mary_university_of_london_confidently_teaching_secondary_computing_final_report.pdf"
9,"_Algorithmic_100taps.json","PDF The Impact of","Algorithmic assessment of borrowers is also enabling innovative companies to assess borrowers on behalf of financial institutions and venture capital funds.","https://assets.publishing.service.gov.uk/media/55ba0461ed915d155c000013/The_impact_of_innovation_in_the_UK_retail_banking_market__2_.pdf"
10,"_Algorithmic_100taps.json","Population estimates for local authorities in","...Variables in the proposed model were selected using a combination of manual selection (where variables are forced into the model) and algorithmic stepwise selection where variables are iteratively...","https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/methodologies/populationestimatesforlocalauthoritiesinenglandandwalesnewmethodsfebruary2018/pdf"
11,"_Algorithmic_100taps.json","Visual Perception","...a cultural as well as physical environment but advocate further investigation of the psysiological bases of visual perception and the formulation and testing of algorithmic theories pioneered by Marr (p.379).","https://www.forestry.gov.uk/forestry/hcou-4u4jnx"
12,"_Algorithmic_100taps.json","Security Monitoring: Technology Overview - NCSC Site","Behavioural analysis systems use a combination of algorithmic, heuristic, 'pattern matching' or 'artificial intelligence' approaches to determine or 'learn' normal behaviours...","https://www.ncsc.gov.uk/guidance/security-monitoring-technology-overview"
13,"_Algorithmic_100taps.json","PDF Impact of London's","Subsequently, manual order entry has been replaced by machine trading employing algorithmic strategies.","https://www.cityoflondon.gov.uk/business/economic-research-and-information/research-publications/Documents/2007-2000/competitive-impact-of-londons-financial-market-exec-summary.pdf"
14,"_Algorithmic_100taps.json","Passwords - why three random words | Cyber Aware","The advice to use or include three random words in your password is a culmination of pragmatism and algorithmic strength against common issues like brute force attacks...","https://www.cyberaware.gov.uk/blog/passwords-%E2%80%93-why-three-random-words"
15,"_Algorithmic_100taps.json","PDF A review of corporate governance","5.22 Given that the environment is, and may continue to be one involving greater algorithmic and other high-frequency trading activity in BOFI stocks, it seems important that...","http://webarchive.nationalarchives.gov.uk/+/www.hm-treasury.gov.uk/d/walker_review_261109.pdf"
16,"_Algorithmic_100taps.json","PDF Contract research report","In particular, human expertise is not always consistent and complete, and can be difficult to capture into an algorithmic representation.","http://www.hse.gov.uk/Research/crr_pdf/2001/crr01327.pdf"
17,"_Algorithmic_100taps.json","Multiscale experimentation, monitoring","A reverse algorithmic differentiation (adjoint) version of DNRM was created using Tapenade (Hascoët and Pascual 2004).","http://evidence.environment-agency.gov.uk/FCERM/Libraries/FCERM_Project_Documents/Land_use_change_and_flood_risk_-_report.sflb.ashx"
18,"_Algorithmic_100taps.json","PDF English Nature, the Joint Nature Conservation Committee","EXECUTIVE SUMMARY. TECHNICAL SUMMARY. 1. INTRODUCTION: BIOINDICATORS AND BIOMONITORING FOR ATM. 2. PHYSICAL METHODS FOR MEASURING ATMOSPHERIC...","http://jncc.defra.gov.uk/pdf/jncc356.pdf"
19,"_Algorithmic_100taps.json","Noresults.",,
"NO.","SEARCH TERM FILE","TITLE","CONTENT","LINK"
1,"_Artificial-intelligence_100taps.json","PDF Growing the artificial","We are grateful to the Business Secretary and Culture Secretary for asking us to conduct this Review of how to grow Artificial Intelligence in the UK, in terms of those developing it and deploying it.","https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/652097/Growing_the_artificial_intelligence_industry_in_the_UK.pdf"
2,"_Artificial-intelligence_100taps.json","Growing the artificial intelligence industry in the UK - GOV.UK","This independent review, carried out by Professor Dame Wendy Hall and Jérôme Pesenti reports on how the Artificial Intelligence industry can be grown in the UK.","https://www.gov.uk/government/publications/growing-the-artificial-intelligence-industry-in-the-uk"
3,"_Artificial-intelligence_100taps.json","Artificial intelligence: an overview for policy-makers - GOV.UK","An introduction to artificial intelligence (AI), including an overview of the opportunities and ‎implications for society and government.","https://www.gov.uk/government/publications/artificial-intelligence-an-overview-for-policy-makers"
4,"_Artificial-intelligence_100taps.json","Executive summary - GOV.UK","Increased use of Artificial Intelligence (AI) can bring major social and economic benefits to the UK.","https://www.gov.uk/government/publications/growing-the-artificial-intelligence-industry-in-the-uk/executive-summary"
5,"_Artificial-intelligence_100taps.json","Robotics, automation and artificial intelligence - GOV.UK","Advice to the Prime Minister on opportunities in robotics, automation and artificial intelligence for the UK.","https://www.gov.uk/government/publications/robotics-automation-and-artificial-intelligence"
6,"_Artificial-intelligence_100taps.json","Competition Overview - Innovation Funding Service","This is to encourage and stimulate the development of demonstrators of robotics and artificial intelligence (RAI) technologies for extreme and challenging environments.","https://apply-for-innovation-funding.service.gov.uk/competition/25/overview"
7,"_Artificial-intelligence_100taps.json","Artificial intelligence and machine learning"," exploring... - HMRC digital","https://hmrcdigital.blog.gov.uk/2017/07/17/artificial-intelligence-and-machine-learning-exploring-the-possibilities/"
8,"_Artificial-intelligence_100taps.json","Export opportunities | Japan - Artificial Intelligence (AI) as a service","Japan - Artificial Intelligence (AI) as a service. A leading internet and communications company wants to jointly develop, fund and market new AI services.","https://opportunities.export.great.gov.uk/opportunities/japan-artificial-intelligence-ai-as-a-service"
9,"_Artificial-intelligence_100taps.json","Public Lecture: Artificial Intelligence and Christian Faith","Public lecture given by Rt Revd Dr Stephen Croft, Bishop of Oxford, who will be explaining what the advent of artificial intelligence means for theology and faith.","http://www.reading.gov.uk/article/11069/Public-Lecture-Artificial-Intelligence-and-Christian-Faith"
10,"_Artificial-intelligence_100taps.json","The next tech boom: Artificial Intelligence (A.I.) | Foreign Office Blogs","Artificial Intelligence is booming in Montréal, and Canada more broadly. Computer algorithms can analyse vast quantities of data and establish patterns, with a myriad of potential applications.","https://blogs.fco.gov.uk/nickbaker/2017/11/16/the-next-tech-boom-artificial-intelligence-a-i/"
11,"_Artificial-intelligence_100taps.json","London's artificial intelligence start-ups bid for cash... | London City Hall","In particular, we are establishing ourselves as world leaders in artificial intelligence, which we celebrate today.","https://www.london.gov.uk/press-releases/mayoral/londons-ai-start-ups-bid-for-cash-at-city-hall"
12,"_Artificial-intelligence_100taps.json","Partnership between business and government has never been more...","These included artificial intelligence and the role technology can play in society. This is also clearly top of mind for the Prime Minister as in her Davos address she expressed the view that harnessing...","https://gcs.civilservice.gov.uk/partnership-business-government-never-important/"
13,"_Artificial-intelligence_100taps.json","ARTIFICIAL INTELLIGENCE SOLUTIONS LIMITED - Filing history...","ARTIFICIAL INTELLIGENCE SOLUTIONS LIMITED - Free company information from Companies House including registered office address, filing history, accounts, annual return, officers, charges...","https://beta.companieshouse.gov.uk/company/SC108083/filing-history"
14,"_Artificial-intelligence_100taps.json","PDF Corporate/cross council savings","By Introducing Artificial Intelligence (AI) the council has a saving identified of £50,000. Introduction of an AI system in the Customer services and Business Support.","https://www.n-somerset.gov.uk/wp-content/uploads/2017/12/Corporate-Services-and-cross-council-January-2018.pdf"
15,"_Artificial-intelligence_100taps.json","[ARCHIVED CONTENT] Faculty of Computing and Engineering","Research within the Artificial Intelligence and Applications group is focussed on methodologies for knowledge engineering, reasoning, and classification.","http://webarchive.proni.gov.uk/frame/20131010134356/http://compeng.ulster.ac.uk/ai_rg.php"
16,"_Artificial-intelligence_100taps.json","Growth Board recommends housing and growth deal | Cherwell District...","Government has also promised opportunities for Oxfordshire to be involved in developing sector deals with life sciences and artificial intelligence sectors...","https://www.cherwell.gov.uk/news/article/381/growth-board-recommends-housing-and-growth-deal"
17,"_Artificial-intelligence_100taps.json","AVDC's budgeting success story | AVDC","The programme includes a webchat service, the online MyAccount facility, Artificial Intelligence and a partnership with Amazon Web Services which is working to develop access to services through voice...","https://www.aylesburyvaledc.gov.uk/news/avdc%E2%80%99s-budgeting-success-story"
18,"_Artificial-intelligence_100taps.json","HSE: Current issues - Pervasive computing - Horizon scanning","...actively at the moment include devices which sense changes in their environment and adapt and act on these changes, through to work on human-computer interactions and artificial intelligence.","http://www.hse.gov.uk/horizons/current-issues/science-and-technology/computing.htm"
19,"_Artificial-intelligence_100taps.json","Developers - TfL Digital Blog","We use artificial intelligence enabled by the machine-learning framework to process the customer messages (Natural Language Processing).","https://blog.tfl.gov.uk/category/developers/"
20,"_Artificial-intelligence_100taps.json","Chancellor's speech at the National Cyber Security Centre... - NCSC Site","The development of artificial intelligence heralds a technological revolution that will fundamentally change our lives.","https://www.ncsc.gov.uk/news/chancellors-speech-national-cyber-security-centre-opening"
21,"_Artificial-intelligence_100taps.json","Codes, chess and Kubrick: the life of Jack Good | GCHQ Site","Turing and Good seem to be kindred spirits and would discuss many topics of mutual interest such as mathematics, computation, artificial intelligence, and philosophy...","https://www.gchq.gov.uk/features/codes-chess-and-kubrick-life-jack-good"
22,"_Artificial-intelligence_100taps.json","PDF The Evolution of ODR","He recently told the BBC that he worries deeply about artificial intelligence. He says that he believes that artificial intelligence poses one of the biggest existential threats.","https://www.judiciary.gov.uk/wp-content/uploads/2015/02/ethan_katsh_int2_evo_of_odr.pdf"
23,"_Artificial-intelligence_100taps.json","HSE Science and Research Publications 2016 - HSL","BEERS, H. Artificial intelligence: current trends and future developments. BEERS, H. Artificial Intelligence: Discussion and conclusions.","https://www.hsl.gov.uk/resources/publications/hse-science-and-research-publications-2016"
24,"_Artificial-intelligence_100taps.json","January 2018","Baro have developed their own artificial intelligence software that allows the vehicle to learn from experiences which it can apply to the next journey.","http://business.warwickshire.gov.uk/january-2018/print"
25,"_Artificial-intelligence_100taps.json","PDF Printed list of National Trade marks accepted","Class 9: Electronic publications and downloadable publications computer software relating to recruitment and employment","https://www.ipo.gov.uk/t-tmj/tm-journals/2017-051/jnl.pdf"
26,"_Artificial-intelligence_100taps.json","PDF Value of Fintech","— Portfolio management: use of artificial intelligence and machine learning for management of portfolio.","https://www.cityoflondon.gov.uk/business/economic-research-and-information/research-publications/Documents/value_of_fintech.pdf"
27,"_Artificial-intelligence_100taps.json","PDF Report of the investigatory powers review","4.38. Growth in computer processing capacity and data sets has led to advances in a branch of artificial intelligence called Deep...","https://terrorismlegislationreviewer.independent.gov.uk/wp-content/uploads/2015/06/IPR-Report-Web-Accessible1.pdf"
"NO.","SEARCH TERM FILE","TITLE","CONTENT","LINK"
1,"_Assessment-tool_100taps.json","Risk management: Interactive tools","HSE describes the practical steps to protect people from the risks that cause real harm and suffering.","http://www.hse.gov.uk/risk/assessment.htm"
2,"_Assessment-tool_100taps.json","PDF Alternatives to Travel Assessment Tool: Understanding","The Assessment Tool contains three distinct stages as shown in Figure 1.1. Figure 1.1 - Assessment Tool Stages.","https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/3207/appendix-d2.pdf"
3,"_Assessment-tool_100taps.json","Assessment tools","Hypertension in pregnancy: baseline assessment tool. CG109. Transient loss of consciousness in adults and young people: baseline assessment tool.","http://webarchive.nationalarchives.gov.uk/20120502232744/http://www.nice.org.uk/usingguidance/implementationtools/AssessmentTools.jsp"
4,"_Assessment-tool_100taps.json","Self Assessment Tool | IOPC Careers","While working here is immensely rewarding, the challenges and situations you'll find yourself in are unique. How would you cope? Try our self-assessment tool to find out.","https://policeconduct.gov.uk/sites/default/files/selfassessment/SelfAssessmentTool_IPCCCareers.html"
5,"_Assessment-tool_100taps.json","Self assessment tool","Using this tool. This self assessment tool will help you and your organisation identify if you're complying with the principles in the code.","http://www.boston.gov.uk/CHttpHandler.ashx?id=18104&p=0"
6,"_Assessment-tool_100taps.json","PDF Self Assessment Tool","The self assessment tool is a powerful and simple way for your staff to unlock their potential. In 15 to 25 minutes they will be able to identify their strongest competencies...","https://civilservicelearning.civilservice.gov.uk/sites/all/modules/csl_cfsa/docs/Manager-Guidance.pdf"
7,"_Assessment-tool_100taps.json","Falls assessment tools | Hertfordshire... | www.hertfordshire.gov.uk","Cambridgeshire Community Falls Risk Assessment Tool An in-depth screening tool to identify risk factors for falling and appropriate short and...","https://www.hertfordshire.gov.uk/services/health-in-herts/professionals/falls-assessment-tools.aspx"
8,"_Assessment-tool_100taps.json","PDF Adult Carers and Safeguarding - Risk Assessment Tool","The risk assessment tool must used by social workers/social care assessment officers when it is identified that.","https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/carers_guidance_final.pdf"
9,"_Assessment-tool_100taps.json","PDF Self assessment tool","Using this tool. This self assessment tool will help you and your organisation identify if you're complying with the principles in the code.","https://www.fareham.gov.uk/PDF/safety/SelfAssessmentTool.pdf"
10,"_Assessment-tool_100taps.json","PDF Self assessment tool","Using this tool. This self assessment tool will help you and your organisation identify if you're complying with the principles in the code.","https://www.islington.gov.uk/~/media/sharepoint-lists/public-records/housing/businessplanning/procedures/20172018/20171115homesandcommunitiessurveillancecameraselfassessmenttool2017.pdf"
11,"_Assessment-tool_100taps.json","Self-assessment tool - NetRegs | Environmental guidance for your...","Check your business's environmental compliance with our free, anonymous, online assessment tool. It comes in seven short sections, each should take no more than 10 minutes to complete.","http://www.netregs.gov.uk/about/self-assessment-tool/"
12,"_Assessment-tool_100taps.json","Social Care Assessment | Community Directory","By answering some quick questions about your current situation we can direct you towards information, advice and services that could help you to live independently and improve your wellbeing. We can...","http://infolink.suffolk.gov.uk/kb5/suffolk/infolink/ast.page"
13,"_Assessment-tool_100taps.json","PDF Self assessment tool","Using this tool. This self assessment tool will help you and your organisation identify if you're complying with the principles in the code.","http://www.cornwall.gov.uk/media/30942061/self_assessment_tool_v3_web_2016-2.pdf"
14,"_Assessment-tool_100taps.json","How the self assessment tool works - Norfolk County Council","The restorative approaches self-assessment tool is suitable for people who have had training in restorative approaches, or any other model that is underpinned by the restorative values.","https://www.norfolk.gov.uk/what-we-do-and-how-we-work/policy-performance-and-partnerships/partnerships/childrens-social-care-partnerships/restorative-approaches/restorative-approaches-self-assessment-tool-and-development-plan/how-the-self-assessment-tool-works"
15,"_Assessment-tool_100taps.json","PDF Public service pension schemes","This self-assessment tool is for those involved in running public service pension schemes, including scheme managers and pension boards.","http://www.thepensionsregulator.gov.uk/docs/PS-assessment-tool.pdf"
16,"_Assessment-tool_100taps.json","PDF Surveillance Camera Commissioner","Using this tool. This self-assessment tool will help you and your organisation identify if you're complying with the principles in the code.","https://new.enfield.gov.uk/services/community-safety/about-the-enfield-public-safety-centre/community-safety-information-self-assessment-tool-scc.pdf"
17,"_Assessment-tool_100taps.json","PDF Self assessment tool","Using this tool. This self assessment tool will help you and your organisation identify if you're complying with the principles in the code.","https://www.ashford.gov.uk/media/3904/self_assessment_tool_v3_web_2.pdf"
18,"_Assessment-tool_100taps.json","DOC Safeguarding risk assessment tool","City and Hackney Safeguarding Adults Board SAFEGUARDING ADULTS RISK ASSESSMENT TOOL DETAILS OF THE ADULT AT RISK Name of Adult At Risk. DoB/ Age","https://www.hackney.gov.uk/Assets/Documents/risk-assessment-tool.doc"
19,"_Assessment-tool_100taps.json","Early Help Assessment Tool (EHAT) - Liverpool City Council","Early Help Assessment Tool (EHAT). Information about EHAT, when it is used, plus tools and resources for practitioners.","https://www.liverpool.gov.uk/EHAT"
20,"_Assessment-tool_100taps.json","PDF Assessments.","P.scales These are the nationally recognised level descriptors and assessment tool for children and young people working below Level 1 of the national curriculum.","https://www.cumbria.gov.uk/eLibrary/Content/Internet/537/3953/6769/6913/4209512155.pdf"
21,"_Assessment-tool_100taps.json","PDF Safeguarding Adults | Using the tool It can be used","Safeguarding Adults Risk Assessment Tool Guidance. Version: WY Procedures V2 01/04/2015. Page 1 of 3.","https://www.bradford.gov.uk/media/2724/safeguarding-adults-risk-assessment-tool-guidance.pdf"
22,"_Assessment-tool_100taps.json","Drinking Water Inspectorate | Risk Assessment tool for toilet flushing","Please ensure you use the most up to date version of the risk assessment tool. The version number can be found on the first tab in each tool.","http://dwi.defra.gov.uk/private-water-supply/local-auth/risk-assessment.html"
23,"_Assessment-tool_100taps.json","FGM Safeguarding Risk Assessment Tool | Coventry City Council","FGM Safeguarding Risk Assessment Tool. File type: PDF. Size: 968.47 KB.","https://www.coventry.gov.uk/downloads/file/20816/fgm_safeguarding_risk_assessment_tool"
24,"_Assessment-tool_100taps.json","PDF Self-assessment of the UK NPM | II. Applying the tool","In November 2013 the SPT recommended to the UK NPM that it use the self-assessment tool as a way of examining its effectiveness and efficiency with a view to improving its working practices.","https://www.justiceinspectorates.gov.uk/hmiprisons/wp-content/uploads/sites/4/2015/06/NPM-self-assessment-tool-document-with-annex.pdf"
25,"_Assessment-tool_100taps.json","Bed safety rail assessment tool","Signature: Print name: This assessment tool should not replace clinical judgement.","https://www.warrington.gov.uk/download/downloads/id/1304/bed_safety_rails_risk_assessment"
26,"_Assessment-tool_100taps.json","PDF How to do I use the self-assessment tool?","...2 1.1 Features and benefits.2 1.2 Next steps .2 1.3 How to do I use the self-assessment...","https://www.london.gov.uk/sites/default/files/safe_spaces_self-accreditation_scheme_-_survey_tool.pdf"
27,"_Assessment-tool_100taps.json","PDF Peat assessment project","3. developing a field assessment tool to assess the viability and relative merits of sites for restoration. National mapping.","https://www.forestry.gov.uk/pdf/FR_Anderson_peat_assessment_report_2014.pdf/$file/FR_Anderson_peat_assessment_report_2014.pdf"
28,"_Assessment-tool_100taps.json","PDF Tools and techniques","2.1 The Tube Network for the Bike Overview London's cycling network strategy Stakeholder involvement Cycling Level of Service assessment Junction assessment tool.","https://consultations.tfl.gov.uk/cycling/draft-london-cycling-design-standards/user_uploads/ch2-tools-and-techniques.pdf"
29,"_Assessment-tool_100taps.json","Vulnerability Self Assessment Tool","The Crowded Places Vulnerability Self Assessment Tool (VSAT), which has been developed by NaCTSO in partnership with leading businesses, will assist owners...","https://www.spelthorne.gov.uk/CHttpHandler.ashx?id=920&p=0"
30,"_Assessment-tool_100taps.json","Health in All Policies self-assessment tool | Local Government...","Health in All Policies self-assessment tool.","https://www.local.gov.uk/health-all-policies-self-assessment-tool"
